Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F114,46.7854,7353,Fourier Transform,NCE 27±6 %,MS2,0,None,25.70162,150,541.02502,2161.07827,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.7885,7354,Fourier Transform,NCE 24±3 %,MS2,0,None,25.70162,150,541.02502,2161.07827,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.8186,7360,Fourier Transform,NCE 27±3 %,MS2,0,None,11.4462,150,599.96844,1797.89078,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.823,7361,Fourier Transform,NCE 27±6 %,MS2,0,None,11.4462,150,599.96844,1797.89078,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.8261,7362,Fourier Transform,NCE 24±3 %,MS2,0,None,11.4462,150,599.96844,1797.89078,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.9654,7385,Fourier Transform,NCE 27±3 %,MS2,0,None,,150,597.25183,1789.74094,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.9698,7386,Fourier Transform,NCE 27±6 %,MS2,0,None,,150,597.25183,1789.74094,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.9729,7387,Fourier Transform,NCE 24±3 %,MS2,0,None,,150,597.25183,1789.74094,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.0096,7394,Fourier Transform,NCE 27±3 %,MS2,0,None,35.77001,150,544.96252,1632.87302,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,47.0141,7395,Fourier Transform,NCE 27±6 %,MS2,0,None,35.77001,150,544.96252,1632.87302,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
